ID,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Price
45768834,584,HYUNDAI,Elantra,2014,Sedan,Yes,Petrol,1.8,107155 km,4.0,Automatic,Front,04-May,Left wheel,Black,12,
45816149,584,HYUNDAI,Elantra,2014,Sedan,Yes,Petrol,1.8,140082 km,4.0,Automatic,Front,04-May,Left wheel,Black,12,
45661019,1598,MERCEDES-BENZ,ML 350,2008,Jeep,Yes,Diesel,3,213998 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12,
45772023,1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,149486 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12,
40642395,-,FORD,Galaxy,2001,Minivan,No,Petrol,2.2,11111 km,5.0,Automatic,Front,04-May,Left wheel,Blue,6,
45769158,289,FORD,Escape,2008,Jeep,Yes,Hybrid,0.4,220474 km,4.0,Automatic,Front,04-May,Left wheel,Grey,0,
45815325,-,FORD,Fusion,2013,Sedan,Yes,Petrol,1.6 Turbo,46000 km,4.0,Tiptronic,Front,04-May,Left wheel,White,8,
45746606,1236,HONDA,FIT,2011,Sedan,Yes,Hybrid,1.3,127000 km,4.0,Variator,Front,04-May,Right-hand drive,Black,2,
45802888,765,HYUNDAI,Santa FE,2015,Jeep,Yes,Diesel,2,153958 km,4.0,Automatic,Front,04-May,Left wheel,White,4,
45701090,-,MERCEDES-BENZ,E 200,1993,Sedan,No,CNG,2,0 km,4.0,Manual,Rear,04-May,Left wheel,Black,2,
45776513,-,MERCEDES-BENZ,C 180,2000,Sedan,No,Petrol,2,136000 km,4.0,Tiptronic,Rear,04-May,Right-hand drive,Blue,6,
45803386,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,348486 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,
45802332,1024,HYUNDAI,H1,2010,Minivan,Yes,Diesel,2.5,124850 km,4.0,Automatic,Front,04-May,Left wheel,White,4,
44962208,-,TOYOTA,RAV 4,2017,Jeep,No,Petrol,2.5,32000 km,6.0,Automatic,Front,04-May,Left wheel,White,10,
45700038,-,MITSUBISHI,Pajero IO,1998,Jeep,No,Petrol,1.8,200000 km,4.0,Automatic,4x4,02-Mar,Left wheel,Silver,2,
45725235,707,SSANGYONG,Actyon,2011,Jeep,Yes,Diesel,2,102000 km,4.0,Automatic,Front,04-May,Left wheel,Black,4,
45816638,528,FORD,Fiesta 1.6,2014,Hatchback,No,Petrol,1.6,134400 km,3.0,Automatic,Front,04-May,Left wheel,Grey,0,
45744803,761,DAEWOO,Lacetti,2010,Sedan,Yes,Petrol,1.8,46527 km,4.0,Automatic,Front,04-May,Left wheel,Black,4,
45815350,765,LEXUS,NX 200,2015,Jeep,Yes,Petrol,2,109336 km,4.0,Automatic,4x4,04-May,Left wheel,Grey,12,
45793280,489,CHEVROLET,Spark,2016,Sedan,Yes,Petrol,1,31970 km,4.0,Automatic,Front,04-May,Left wheel,White,4,
45522608,-,VOLKSWAGEN,Jetta,2003,Sedan,Yes,Petrol,2,137000 km,4.0,Manual,Front,04-May,Left wheel,Black,8,
45097806,645,HYUNDAI,Elantra,2011,Sedan,No,Petrol,1.8,195200 km,4.0,Tiptronic,Front,04-May,Left wheel,White,12,
32558066,382,KIA,Optima,2014,Sedan,Yes,Hybrid,2.4,88000 km,4.0,Automatic,Front,04-May,Left wheel,White,10,
45761247,382,CHEVROLET,Volt,2017,Hatchback,Yes,Hybrid,1.5,52062 km,4.0,Automatic,Front,04-May,Left wheel,Blue,0,
45771289,1058,MERCEDES-BENZ,E 350,2012,Sedan,Yes,Diesel,3.5,318285 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12,
45806544,474,CHEVROLET,Volt,2013,Hatchback,Yes,Hybrid,1.4,0 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12,
45730345,1099,SSANGYONG,REXTON,2010,Jeep,Yes,Diesel,2.7,217000 km,4.0,Automatic,Front,04-May,Left wheel,Black,4,
45815980,585,HYUNDAI,Elantra,2013,Hatchback,Yes,Petrol,1.8,279182 km,4.0,Automatic,Front,04-May,Left wheel,Red,12,
45816009,474,FIAT,500C Lounge,2013,Cabriolet,Yes,Petrol,1.4,70000 km,4.0,Automatic,Front,02-Mar,Left wheel,Blue,6,
45793912,-,TOYOTA,Ipsum,2002,Minivan,No,CNG,2.4,180000 km,4.0,Automatic,Front,04-May,Right-hand drive,Black,4,
43906005,585,TOYOTA,Corolla 04,2013,Sedan,No,Petrol,1.8,132800 km,4.0,Automatic,Front,04-May,Left wheel,White,10,
45760655,639,SUBARU,Forester,2014,Jeep,Yes,Petrol,2,110098 km,4.0,Automatic,4x4,04-May,Left wheel,White,0,
45647965,891,AUDI,Q3,2016,Jeep,Yes,Petrol,2,1717 km,4.0,Automatic,4x4,04-May,Left wheel,Black,0,
45729808,528,HYUNDAI,Elantra,2014,Sedan,Yes,Diesel,1.6,90000 km,4.0,Automatic,Front,04-May,Left wheel,Black,4,
45804188,696,JAGUAR,XF,2013,Sedan,Yes,Diesel,2.2,74438 km,4.0,Automatic,Front,04-May,Left wheel,White,4,
45633666,640,FORD,Fusion,2013,Sedan,Yes,Hybrid,2,320554 km,4.0,Automatic,Front,04-May,Left wheel,White,0,
45766619,2151,LEXUS,GX 470,2009,Jeep,Yes,Petrol,4.7,264339 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0,
45759230,2455,LEXUS,GX 470,2008,Jeep,Yes,Petrol,4.7,280354 km,8.0,Automatic,4x4,04-May,Left wheel,White,0,
45797140,1091,HYUNDAI,H1,2016,Minivan,Yes,Diesel,2.5,110189 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,
45761819,-,NISSAN,Tiida,2007,Hatchback,Yes,Petrol,1.5,105000 km,4.0,Variator,Front,04-May,Right-hand drive,Silver,4,
45733567,765,HYUNDAI,Sonata,2015,Sedan,Yes,Petrol,2,52878 km,4.0,Automatic,Front,04-May,Left wheel,Black,4,
45732822,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,520461 km,4.0,Automatic,Front,04-May,Left wheel,Orange,4,
44104417,-,TOYOTA,Aqua,2014,Hatchback,No,Hybrid,1.5,139000 km,4.0,Variator,Front,04-May,Right-hand drive,White,2,
45647961,1058,MERCEDES-BENZ,ML 350,2012,Jeep,Yes,Diesel,3.5,224118 km,6.0,Automatic,4x4,04-May,Left wheel,White,12,
45647925,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,232032 km,4.0,Automatic,Front,04-May,Left wheel,Silver,12,
45808475,749,CHEVROLET,Equinox,2014,Jeep,Yes,Petrol,2.4,179995 km,4.0,Automatic,4x4,04-May,Left wheel,Blue,12,
45619055,1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,153115 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12,
45640542,333,FORD,Fusion,2014,Sedan,Yes,Hybrid,2,124493 km,4.0,Automatic,Front,04-May,Left wheel,White,0,
45038100,-,TOYOTA,Land Cruiser Prado,2018,Jeep,Yes,Diesel,3.0 Turbo,59826 km,4.0,Automatic,4x4,04-May,Left wheel,Black,12,
45771272,345,TOYOTA,Prius,2016,Sedan,Yes,Hybrid,1.5,296104 km,4.0,Automatic,Front,04-May,Left wheel,Black,12,
43496113,-,MERCEDES-BENZ,Sprinter,2008,Microbus,Yes,Diesel,2.3 Turbo,12000 km,4.0,Manual,Rear,02-Mar,Left wheel,White,2,
45816062,-,BMW,328,2014,Sedan,Yes,Petrol,2.0 Turbo,23302 km,4.0,Tiptronic,Rear,04-May,Left wheel,White,4,
45813007,1935,DODGE,RAM,2014,Pickup,Yes,Diesel,6.7,367053 km,6.0,Automatic,Front,04-May,Left wheel,White,12,
45804422,753,JEEP,Compass,2012,Jeep,Yes,Petrol,2.4,65731 km,4.0,Automatic,Front,04-May,Left wheel,Red,4,
44863934,1620,MERCEDES-BENZ,Sprinter,2006,Microbus,No,Diesel,2.2 Turbo,100000 km,4.0,Manual,Rear,04-May,Left wheel,White,4,
45660246,603,LEXUS,RX 450,2015,Jeep,Yes,Hybrid,3.5,143619 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12,
45809357,382,HONDA,FIT,2017,Universal,Yes,Hybrid,1.5,3474 km,4.0,Automatic,Front,04-May,Left wheel,Blue,4,
45805830,584,VOLKSWAGEN,Passat,2014,Sedan,Yes,Petrol,1.8 Turbo,108000 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,12,
45730032,707,SSANGYONG,REXTON,2011,Jeep,Yes,Diesel,2,113368 km,4.0,Automatic,Front,04-May,Left wheel,White,4,
45796568,-,NISSAN,March,1998,Hatchback,No,Petrol,1,157000 km,4.0,Automatic,Front,04-May,Right-hand drive,Black,2,
45781844,-,TOYOTA,Prius,2013,Hatchback,No,Hybrid,1.8,63186 km,4.0,Variator,Front,04-May,Left wheel,White,12,
45769457,753,HYUNDAI,Tucson,2012,Jeep,Yes,Petrol,2.4,177080 km,4.0,Automatic,Front,04-May,Left wheel,Silver,0,
45789877,1705,SSANGYONG,Kyron,2007,Jeep,Yes,Diesel,2.7,74944 km,4.0,Automatic,Front,04-May,Left wheel,White,4,
45631226,765,SUBARU,XV,2015,Jeep,Yes,Petrol,2,250005 km,4.0,Automatic,4x4,04-May,Left wheel,Black,0,
45793210,789,CHEVROLET,Cruze,2009,Sedan,Yes,Petrol,1.6,53434 km,4.0,Automatic,Front,04-May,Left wheel,Black,4,
45648333,-,HONDA,Cr-v,2002,Jeep,No,Petrol,2,168000 km,4.0,Manual,4x4,04-May,Right-hand drive,Green,4,
45689123,-,TOYOTA,Prius,2008,Sedan,Yes,Hybrid,1.5,150000 km,4.0,Automatic,Front,04-May,Left wheel,Black,12,
45759408,-,NISSAN,X-Terra,2003,Jeep,No,CNG,3.3,300000 km,6.0,Manual,4x4,04-May,Left wheel,Silver,2,
45641362,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,124912 km,4.0,Automatic,Front,04-May,Left wheel,White,12,
45771646,862,VOLKSWAGEN,Jetta,2011,Sedan,Yes,Petrol,2.5,212501 km,5.0,Automatic,Front,04-May,Left wheel,Grey,12,
45798552,397,TOYOTA,Prius,2016,Sedan,Yes,Hybrid,1.8,158000 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12,
44788383,781,CHEVROLET,Cruze LT,2018,Sedan,No,Petrol,1.4 Turbo,33548 km,4.0,Automatic,Front,04-May,Left wheel,Silver,8,
45733439,891,HYUNDAI,Sonata,2016,Sedan,Yes,Petrol,2,33555 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4,
45755087,781,FORD,Fusion,2012,Sedan,Yes,Hybrid,2.5,146758 km,4.0,Automatic,Front,04-May,Left wheel,Black,12,
45730307,831,SSANGYONG,Actyon,2017,Jeep,Yes,Petrol,1.6,80425 km,4.0,Automatic,Front,04-May,Left wheel,White,4,
45701145,-,FORD,Transit,1998,Microbus,No,Diesel,2.5 Turbo,1234 km,4.0,Manual,Rear,04-May,Left wheel,White,2,
44531804,891,MERCEDES-BENZ,GLA 250,2016,Jeep,Yes,Petrol,2.0 Turbo,87091 km,4.0,Tiptronic,Front,04-May,Left wheel,Grey,10,
45757015,2225,LEXUS,GX 460,2017,Jeep,Yes,Petrol,4.6,69918 km,8.0,Automatic,4x4,04-May,Left wheel,White,0,
45789510,-,BMW,325 CI,2004,Cabriolet,Yes,Petrol,2.5,174000 km,6.0,Tiptronic,Rear,02-Mar,Left wheel,Silver,6,
45645638,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,102397 km,4.0,Automatic,Front,04-May,Left wheel,Black,12,
43844862,-,NISSAN,Altima,2006,Sedan,No,Petrol,2.5,160000 km,6.0,Automatic,Front,04-May,Left wheel,Black,6,
45726968,640,SSANGYONG,Korando,2013,Jeep,Yes,Diesel,2,154162 km,4.0,Automatic,Front,04-May,Left wheel,Blue,4,
45617629,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,398069 km,4.0,Automatic,Front,04-May,Left wheel,Black,12,
45795868,919,MERCEDES-BENZ,ML 350,2012,Jeep,Yes,Diesel,3,179520 km,6.0,Automatic,4x4,04-May,Left wheel,Blue,8,
45816280,1481,BMW,X5,2017,Jeep,Yes,Petrol,3,81658 km,6.0,Automatic,4x4,04-May,Left wheel,White,12,
45762778,1017,MERCEDES-BENZ,GLA 250,2017,Jeep,Yes,Petrol,2,43651 km,4.0,Automatic,Front,04-May,Left wheel,Silver,0,
45807304,-,BMW,330,2010,Coupe,Yes,Petrol,3.0 Turbo,178000 km,6.0,Tiptronic,Rear,02-Mar,Left wheel,Black,6,
45788475,-,HONDA,Civic,1995,Hatchback,No,Petrol,1.5,272000 km,4.0,Manual,Front,02-Mar,Left wheel,Red,2,
45816085,585,HYUNDAI,Elantra,2013,Hatchback,Yes,Petrol,1.8,93650 km,4.0,Automatic,Front,04-May,Left wheel,Blue,12,
45184953,-,TOYOTA,Camry,2013,Sedan,Yes,Petrol,2.5,152000 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,8,
45803241,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,312690 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,
45781886,-,HYUNDAI,Sonata 2.0t,2012,Sedan,Yes,Petrol,2.0 Turbo,203200 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,8,
45764966,585,HYUNDAI,Elantra,2013,Sedan,No,Petrol,1.8,80699 km,4.0,Automatic,Front,04-May,Left wheel,Black,0,
45763843,810,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,121840 km,4.0,Automatic,Front,04-May,Left wheel,Blue,12,
45767303,442,TOYOTA,Prius,2017,Sedan,Yes,Hybrid,1.8,47672 km,4.0,Automatic,Front,04-May,Left wheel,White,12,
45755609,639,BMW,320,2014,Sedan,Yes,Petrol,2.0 Turbo,59000 km,4.0,Tiptronic,Rear,04-May,Left wheel,Black,12,
45804648,934,TOYOTA,RAV 4,2015,Jeep,Yes,Petrol,2.5,73931 km,4.0,Automatic,Front,04-May,Left wheel,Silver,0,
45759041,723,KIA,Cerato,2016,Sedan,Yes,Diesel,1.6,29420 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,
45768003,585,TOYOTA,Prius,2013,Sedan,Yes,Hybrid,1.8,298248 km,4.0,Automatic,Front,04-May,Left wheel,White,12,
45776538,-,SUBARU,Legacy,2004,Sedan,No,Petrol,2.0 Turbo,101000 km,4.0,Tiptronic,4x4,04-May,Right-hand drive,Silver,6,
45809908,784,HONDA,Civic,2017,Hatchback,Yes,Petrol,1.5,26166 km,4.0,Automatic,Front,04-May,Left wheel,Black,4,
45802970,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,80737 km,4.0,Automatic,Front,04-May,Left wheel,Blue,4,
45757385,-,TOYOTA,Prius,2005,Hatchback,No,Hybrid,1.5,259000 km,4.0,Variator,Front,04-May,Left wheel,White,2,
45571871,-,TOYOTA,RAV 4,2012,Jeep,No,Petrol,2.5,83500 km,4.0,Automatic,4x4,04-May,Left wheel,Carnelian red,4,
45789840,1282,CHEVROLET,Captiva,2007,Jeep,Yes,Diesel,2,76198 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,
44107036,562,FIAT,500,2015,Coupe,No,Petrol,1.4,19000 km,4.0,Manual,Front,04-May,Left wheel,Grey,10,
45809927,501,TOYOTA,Aqua,2014,Hatchback,Yes,Petrol,1.5,35000 km,4.0,Automatic,Front,04-May,Left wheel,Orange,4,
45802404,753,HYUNDAI,Grandeur,2012,Sedan,Yes,Petrol,2.4,113824 km,4.0,Automatic,Front,04-May,Left wheel,Black,4,
45634843,781,VOLKSWAGEN,Jetta,2012,Sedan,Yes,Petrol,2.5,220846 km,5.0,Automatic,Front,04-May,Left wheel,Black,12,
45001116,-,MITSUBISHI,Pajero Sport,2019,Jeep,Yes,Petrol,3,6000 km,6.0,Tiptronic,4x4,04-May,Left wheel,White,10,
45764808,2018,TOYOTA,Tundra,2015,Jeep,Yes,Petrol,5.7,128000 km,8.0,Automatic,4x4,04-May,Left wheel,White,12,
45732070,836,HYUNDAI,Santa FE,2010,Jeep,Yes,Diesel,2,174000 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,
45770122,-,SUBARU,Legacy,2000,Sedan,No,CNG,2,200000 km,4.0,Automatic,4x4,04-May,Right-hand drive,Black,2,
45791344,-,MERCEDES-BENZ,CLK 200,2001,Coupe,Yes,Petrol,2.0 Turbo,259000 km,4.0,Tiptronic,Rear,02-Mar,Right-hand drive,Silver,4,
45803220,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,287140 km,4.0,Automatic,Front,04-May,Left wheel,White,4,
45800057,1408,MERCEDES-BENZ,Viano,2007,Minivan,Yes,Diesel,2.2 Turbo,145784 km,4.0,Manual,Rear,04-May,Left wheel,Black,10,
45809058,-,FORD,Mondeo,1995,Hatchback,No,Petrol,1.8,135000 km,4.0,Manual,Front,04-May,Left wheel,Red,2,
45806545,1436,BUICK,Century,2010,Sedan,Yes,Petrol,3.6,158662 km,6.0,Automatic,Front,04-May,Left wheel,Black,12,
45653117,574,HONDA,Insight,2010,Hatchback,Yes,Hybrid,1.3,210758 km,4.0,Automatic,Front,04-May,Left wheel,Silver,0,
45726861,-,MAZDA,Mazda 3,2009,Sedan,No,Petrol,2,181894 km,4.0,Tiptronic,Front,04-May,Left wheel,Grey,4,
45785205,-,OPEL,Corsa,2000,Sedan,No,CNG,1.2,300000 km,4.0,Manual,Front,04-May,Left wheel,Purple,2,
45806006,-,MERCEDES-BENZ,Vito,2016,Minivan,Yes,Diesel,2.2 Turbo,212000 km,4.0,Automatic,Rear,04-May,Left wheel,Silver,0,
45796029,-,TOYOTA,Prius,2004,Hatchback,No,Petrol,1.5,100000 km,4.0,Automatic,Front,04-May,Left wheel,White,0,
45755575,-,TOYOTA,Verso,2011,Minivan,No,Diesel,2,40000 km,4.0,Manual,Front,04-May,Left wheel,Silver,6,
45794293,-,SUZUKI,Swift,2003,Sedan,No,Petrol,1.5,0 km,4.0,Manual,Front,02-Mar,Right-hand drive,Yellow,2,
45816348,836,VOLKSWAGEN,Passat,2010,Sedan,Yes,Petrol,2.0 Turbo,114000 km,4.0,Tiptronic,Front,04-May,Left wheel,White,8,
45798137,-,TOYOTA,Prius,2011,Sedan,No,Petrol,1.8,164800 km,4.0,Variator,Front,04-May,Left wheel,Silver,6,
45794550,-,TOYOTA,Land Cruiser Prado,2014,Jeep,No,Diesel,3.0 Turbo,117000 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12,
45732651,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,410884 km,4.0,Automatic,Front,04-May,Left wheel,White,4,
45794001,-,OPEL,Corsa,1997,Sedan,No,Petrol,1.4,11111 km,4.0,Manual,Front,04-May,Left wheel,Green,2,
45730369,765,SSANGYONG,REXTON,2015,Jeep,Yes,Diesel,2,110000 km,4.0,Automatic,Front,04-May,Left wheel,Black,4,
45813674,607,LEXUS,ES 300,2019,Sedan,Yes,Hybrid,2.5,13362 km,4.0,Automatic,Front,04-May,Left wheel,Black,12,
45744697,790,DAEWOO,Lacetti,2009,Sedan,Yes,Petrol,1.6,159634 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,
45803695,707,HYUNDAI,Tucson,2011,Jeep,Yes,Diesel,2,58401 km,4.0,Automatic,Front,04-May,Left wheel,White,4,
45793340,363,CHEVROLET,Spark,2014,Sedan,Yes,Petrol,1,41984 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4,
45806443,394,LEXUS,ES 300,2014,Sedan,Yes,Hybrid,2.5,176213 km,4.0,Automatic,Front,04-May,Left wheel,Black,12,
45650472,1172,TOYOTA,Highlander,2011,Sedan,Yes,Hybrid,3.5,368064 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,12,
45797286,629,HYUNDAI,Elantra,2015,Sedan,Yes,Petrol,1.6,75000 km,4.0,Automatic,Front,04-May,Left wheel,White,4,
45760543,-,MERCEDES-BENZ,Viano,2013,Minivan,Yes,Diesel,2.2 Turbo,250000 km,4.0,Tiptronic,Rear,04-May,Left wheel,Grey,7,
45652829,382,HYUNDAI,Sonata,2014,Sedan,Yes,Hybrid,2.4,247835 km,4.0,Automatic,Front,04-May,Left wheel,Black,0,
45768144,259,CHEVROLET,Volt,2014,Jeep,Yes,Hybrid,1.4,133195 km,4.0,Automatic,Front,04-May,Left wheel,Black,0,
45798932,-,HONDA,Inspire,2003,Sedan,No,Petrol,3,149000 km,6.0,Tiptronic,Front,04-May,Right-hand drive,Black,6,
39854899,915,LAND ROVER,Land Rover Sport,2014,Jeep,Yes,Diesel,3.0 Turbo,126000 km,6.0,Automatic,4x4,04-May,Left wheel,White,12,
45802356,862,HYUNDAI,H1,2011,Minivan,Yes,Diesel,2.5,55248 km,4.0,Automatic,Front,04-May,Left wheel,Black,4,
45772542,-,TOYOTA,Land Cruiser Prado,2014,Jeep,No,Diesel,3,90000 km,4.0,Manual,4x4,04-May,Left wheel,White,6,
45781770,-,HYUNDAI,Santa FE,2002,Jeep,Yes,LPG,2.7,1000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Brown,4,
45776754,640,SUBARU,XV LIMITED,2013,Jeep,Yes,Petrol,2,77777 km,4.0,Variator,4x4,04-May,Left wheel,Orange,7,
45789449,-,MAZDA,Premacy,2005,Minivan,No,Petrol,1.8,170000 km,4.0,Automatic,Front,04-May,Right-hand drive,Silver,6,
45332367,-,TOYOTA,Camry,2012,Sedan,Yes,Hybrid,2.5,68000 km,4.0,Automatic,Front,04-May,Left wheel,Black,0,
45802995,707,HYUNDAI,Santa FE,2011,Jeep,Yes,Diesel,2,142000 km,4.0,Automatic,Front,04-May,Left wheel,Black,4,
45744771,790,DAEWOO,Lacetti,2009,Sedan,Yes,Petrol,1.6,52020 km,4.0,Automatic,Front,04-May,Left wheel,White,4,
45813971,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,186005 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,0,
45772100,1194,TOYOTA,Tacoma,2013,Sedan,Yes,Petrol,4,57554 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12,
