sku,description,length,width,height,weight,price
07221205237,Item 7221205237,21,9,12,13.09732863,27.61848372
28881108342,Item 28881108342,3,22,5,130.682299,159.1246554
28881108339,Item 28881108339,16,20,7,111.7761642,18.68366676
28881108341,Item 28881108341,15,4,7,45.00484842,26.97119576
18153501839,Item 18153501839,21,10,1,27.92215642,47.31959515
18127100041,Item 18127100041,19,2,19,112.7205153,14.04494622
18221131137,Item 18221131137,5,4,18,61.26153168,17.90539481
18221131136,Item 18221131136,16,1,21,13.770443,1.394167265
18221131135,Item 18221131135,12,13,5,159.7382573,16.61041953
18243114738,Item 18243114738,3,21,18,24.06073151,17.58730579
18243114736,Item 18243114736,21,18,4,3.20870523,25.36162082
18121106038,Item 18121106038,6,11,2,49.35536332,11.70676158
16292300536,Item 16292300536,6,18,7,112.8419296,3.700360101
06291200838,Item 6291200838,18,18,2,32.7583153,16.05783355
16291108739,Item 16291108739,22,1,9,106.4290017,5.495206474
16291108738,Item 16291108738,22,6,6,108.2359278,3.252947992
06291200836,Item 6291200836,10,17,14,36.38139084,9.081258434
16291108735,Item 16291108735,12,15,17,19.21471633,21.79670015
35291102935,Item 35291102935,22,11,22,108.718828,7.17112025
26241800635,Item 26241800635,6,12,13,85.18916658,193.9051626
28132204639,Item 28132204639,11,16,11,154.2537213,92.57378472
28132204742,Item 28132204742,10,3,3,127.4919857,12.80566439
28132204643,Item 28132204643,13,17,6,117.3123094,18.95329805
18133103438,Item 18133103438,9,21,8,132.0638951,12.00888872
18245103936,Item 18245103936,8,2,16,16.39638914,16.00330463
28132204743,Item 28132204743,11,21,21,11.81886026,8.535835463
28132204641,Item 28132204641,18,2,2,40.83580936,17.21393008
17293301338,Item 17293301338,20,21,11,6.890703857,22.91766092
17291105737,Item 17291105737,3,17,21,50.46942007,18.04689667
18293304336,Item 18293304336,5,20,13,102.4318191,116.2864453
17293301336,Item 17293301336,9,1,8,149.4879407,21.86599776
17293305937,Item 17293305937,13,9,4,103.4108129,22.11268607
17293301337,Item 17293301337,11,18,5,118.153529,6.6349399
25241808238,Item 25241808238,8,9,21,8.926694626,27.04863783
25241808236,Item 25241808236,19,8,9,11.8134547,100.0381045
25241808237,Item 25241808237,16,23,19,27.59076043,80.57034175
88181101443,Item 88181101443,3,21,19,141.5201521,185.0531311
88082107740,Item 88082107740,23,4,16,20.51644611,11.00744548
07291100338,Item 7291100338,9,16,18,96.93367869,54.61435263
07291201937,Item 7291201937,13,3,20,150.2112846,80.6827461
07291201935,Item 7291201935,17,21,23,86.02954714,59.12494824
18221122536,Item 18221122536,13,2,7,54.03636916,92.18125037
18221122537,Item 18221122537,5,23,6,147.3334968,73.81548486
18221122538,Item 18221122538,6,20,20,42.92975286,20.55973275
18221122535,Item 18221122535,8,20,6,22.74317824,22.82774026
18291150034,Item 18291150034,9,17,10,45.18724658,27.91138326
18293304338,Item 18293304338,17,18,9,13.43847657,135.7399244
28242919236,Item 28242919236,15,19,9,11.48266768,8.232397136
18291145337,Item 18291145337,22,9,23,108.7213819,12.97048892
18291127335,Item 18291127335,21,20,6,78.44661857,4.47236212
28242919237,Item 28242919237,22,12,9,68.34485016,14.30963683
18291121536,Item 18291121536,2,16,20,2.722853457,13.23976559
28242919238,Item 28242919238,21,9,22,33.58932771,9.762884406
28244926036,Item 28244926036,5,23,17,3.608934656,7.212543013
17293114435,Item 17293114435,18,21,19,54.71666519,177.5870802
17293114439,Item 17293114439,14,17,18,52.70840926,3.099467223
17291217434,Item 17291217434,15,1,7,30.74512686,11.33421796
17293305936,Item 17293305936,3,9,16,100.0349418,19.84420606
17293113935,Item 17293113935,12,4,1,71.08812158,3.076247485
17293113936,Item 17293113936,3,23,1,51.71722948,42.65785739
18293304337,Item 18293304337,3,15,2,145.424748,20.32202332
88181102139,Item 88181102139,4,3,13,12.34128953,12.83050039
88181102140,Item 88181102140,4,16,17,143.4600737,7.08517749
88181102142,Item 88181102142,12,23,22,61.09852548,20.65580152
88181102138,Item 88181102138,5,9,6,14.83431593,28.52761406
88181101440,Item 88181101440,16,5,10,92.73918934,28.76356249
88181101942,Item 88181101942,13,21,6,71.86015206,20.21710389
88181102141,Item 88181102141,4,12,3,98.10821125,20.401236
88181101442,Item 88181101442,14,1,11,11.85629011,22.03471394
88181101441,Item 88181101441,22,2,20,41.07022427,137.7433929
88181101941,Item 88181101941,1,21,8,10.93085936,24.35716055
88181101438,Item 88181101438,4,13,14,115.7571797,5.633221936
17293120039,Item 17293120039,15,7,20,61.73362042,4.348599178
17293120037,Item 17293120037,22,2,16,23.24925256,28.42902245
17293119535,Item 17293119535,11,16,2,126.6397741,2.69959362
17293119536,Item 17293119536,1,23,19,135.0962427,21.3741822
18293304339,Item 18293304339,8,20,12,30.15627967,14.34985391
17291109534,Item 17291109534,10,10,8,6.514410853,29.89193646
17291109536,Item 17291109536,14,7,17,11.57129887,5.220647465
17293114438,Item 17293114438,6,10,21,1.132610014,7.69679454
28132204741,Item 28132204741,8,16,13,48.25931348,24.58561809
28132204740,Item 28132204740,20,2,10,107.7746176,69.52842907
17293113937,Item 17293113937,5,6,21,104.3467197,19.24406828
17293113939,Item 17293113939,5,12,22,75.49092858,22.58486078
28132204738,Item 28132204738,3,23,9,29.21595713,33.59706488
18291132836,Item 18291132836,1,11,16,153.5246665,2.912962293
18291127935,Item 18291127935,18,4,13,21.71341719,24.11072552
17293114436,Item 17293114436,21,15,22,66.04587046,11.3825187
40082011139,Item 40082011139,7,17,12,82.83605623,149.7810016
40082088941,Item 40082088941,20,1,8,27.51090844,55.89817335
40082011238,Item 40082011238,2,8,2,25.06898232,19.48093237
18143104742,Item 18143104742,13,3,3,115.1287329,110.3376835
40082088938,Item 40082088938,16,2,3,63.97167924,105.6827246
40082011239,Item 40082011239,15,2,5,106.6074474,8.00639912
18121118541,Item 18121118541,10,15,8,157.2784019,10.72690623
40082088939,Item 40082088939,6,10,23,87.86388741,9.381224821
40082011142,Item 40082011142,4,6,4,93.65499552,64.3571339
40082011140,Item 40082011140,8,15,17,119.8141273,6.810451733
28882200142,Item 28882200142,5,5,21,70.29987732,18.05019888
40082088943,Item 40082088943,18,5,15,81.79278824,8.372965379
18145100040,Item 18145100040,13,8,4,111.5725957,7.894906426
28242919739,Item 28242919739,17,9,7,40.82951834,1.619572955
40082011241,Item 40082011241,5,18,5,39.49123058,14.62201959
40082088843,Item 40082088843,22,18,15,145.0848886,1.24258174
40082088940,Item 40082088940,22,4,3,155.3745766,24.08999355
17145257644,Item 17145257644,22,2,8,108.0131869,23.83534231
17145257642,Item 17145257642,8,3,5,82.40012935,18.56713196
17145257640,Item 17145257640,8,5,21,150.4237621,6.977133456
17145257643,Item 17145257643,19,15,3,131.8137357,28.87962208
17145257641,Item 17145257641,11,10,17,98.93026571,106.2362743
17145257639,Item 17145257639,20,15,22,69.34594714,4.972702588
88181101439,Item 88181101439,9,11,5,60.29034381,13.60096614
88082107741,Item 88082107741,13,4,7,64.19866513,16.52156316
88082107742,Item 88082107742,1,17,8,143.8255488,23.88698623
16142405142,Item 16142405142,15,21,9,69.03773293,3.670257545
28135212740,Item 28135212740,3,12,13,78.16887041,9.849280557
28135212738,Item 28135212738,7,16,9,116.1981296,27.50622624
28135212741,Item 28135212741,10,12,14,12.81305834,20.04199216
28135212739,Item 28135212739,15,19,11,126.2316501,7.120160645
18293304335,Item 18293304335,16,1,19,48.79162072,8.731629046
18291127337,Item 18291127337,20,10,13,137.0495609,66.40883164
18221204539,Item 18221204539,20,13,15,117.5143559,3.595790184
18291127338,Item 18291127338,20,19,17,95.52006872,3.451768495
28132204642,Item 28132204642,20,19,17,131.5392579,3.506549557
28132204640,Item 28132204640,21,12,14,96.93565789,59.39709033
17293117638,Item 17293117638,2,3,12,92.70043702,14.37419855
18291121537,Item 18291121537,20,10,12,31.22564412,13.42767381
17121208139,Item 17121208139,6,10,17,130.1194673,129.2532305
40082011138,Item 40082011138,22,4,2,98.39968492,71.47365184
40082088841,Item 40082088841,12,9,3,88.87139428,27.27315518
26131205942,Item 26131205942,8,14,6,35.6449191,10.76658366
40082011143,Item 40082011143,4,22,22,34.49201502,12.18150095
28882200140,Item 28882200140,2,22,10,1.314846295,28.3683966
28882200139,Item 28882200139,3,23,14,32.01931171,55.84144239
18291121535,Item 18291121535,13,23,1,52.75286066,26.76946861
17293305935,Item 17293305935,16,8,1,31.1935552,3.478330036
17293301339,Item 17293301339,10,20,15,57.07224975,21.61842736
17293117637,Item 17293117637,13,9,2,151.2635539,2.272362206
17293117639,Item 17293117639,5,21,11,113.7108832,184.8237972
18145216942,Item 18145216942,13,19,2,127.9020048,165.7799271
17293305939,Item 17293305939,6,1,1,103.0027464,5.593111584
17291105735,Item 17291105735,12,4,13,41.55032804,8.738276837
17291117537,Item 17291117537,20,12,10,113.3558977,25.79848501
38579345038,Item 38579345038,19,16,19,56.97815019,13.80417252
38787312437,Item 38787312437,3,14,23,57.17196453,26.22225443
38579345037,Item 38579345037,6,4,22,116.4152463,101.9596641
18293304434,Item 18293304434,14,7,20,0.455801028,11.08690245
18293304435,Item 18293304435,4,20,10,121.9963308,5.152155847
18293304436,Item 18293304436,23,14,1,94.65050603,7.309399772
18293304437,Item 18293304437,4,2,23,26.27533746,26.32553758
18293304438,Item 18293304438,19,17,18,148.2548794,1.543928259
18293304439,Item 18293304439,20,8,3,6.634966118,16.61611031
16291110435,Item 16291110435,22,13,21,89.45840209,16.91945696
16291110438,Item 16291110438,19,4,9,3.561394803,15.03151427
16291110437,Item 16291110437,21,17,1,135.7919857,20.8193931
16291110436,Item 16291110436,3,14,19,27.26615046,14.3050973
26241800639,Item 26241800639,15,1,9,36.87305145,51.76745362
35291102838,Item 35291102838,23,7,14,135.3469722,9.853949457
16292320036,Item 16292320036,11,19,12,153.6652714,16.58379742
35291102938,Item 35291102938,7,16,9,109.0014809,86.47159554
35291102934,Item 35291102934,16,18,12,154.623795,3.28734246
26241801234,Item 26241801234,17,12,11,20.68211934,1.25832932
26241804337,Item 26241804337,18,18,15,92.81863635,99.40070915
35291102939,Item 35291102939,4,7,13,154.4540226,16.46242434
26241804335,Item 26241804335,12,10,18,150.3627963,7.742390582
18221129438,Item 18221129438,6,2,12,150.5909109,17.94457817
18221129436,Item 18221129436,11,16,3,16.10523816,9.968612577
18291100937,Item 18291100937,21,23,1,130.2377829,16.49157291
18221129435,Item 18221129435,2,9,18,96.29288309,80.62570976
18291100936,Item 18291100936,5,10,22,100.0957397,19.06489479
88161301743,Item 88161301743,14,13,14,83.13950554,10.75168062
88161301842,Item 88161301842,6,17,23,138.9602693,12.45271642
88161301841,Item 88161301841,16,11,22,48.64164452,18.57227496
28132203042,Item 28132203042,13,4,12,55.1699132,25.41901596
28132203040,Item 28132203040,6,17,9,109.8619569,17.30021143
28132203041,Item 28132203041,16,6,8,66.94141424,74.79337402
88183100441,Item 88183100441,7,12,17,82.39207148,51.39822639
88183100439,Item 88183100439,19,12,21,76.0029495,8.240067477
18245107636,Item 18245107636,15,20,3,154.3376256,8.960083105
28881107541,Item 28881107541,8,3,22,80.21514834,1.156948744
18221123136,Item 18221123136,19,17,6,135.6166991,28.98703576
18221123137,Item 18221123137,1,15,9,10.2758207,86.38814728
18245103237,Item 18245103237,1,20,9,45.20622185,14.84784131
18221121738,Item 18221121738,11,13,10,136.8487995,114.0282362
28235229936,Item 28235229936,20,15,5,151.4522153,56.8711636
28235229935,Item 28235229935,8,17,5,57.90551689,48.03144917
18133103441,Item 18133103441,22,22,18,106.7269884,3.049568209
18133103440,Item 18133103440,16,3,16,99.79458866,13.94973469
88082104241,Item 88082104241,4,22,13,84.82374181,9.690123009
18133103439,Item 18133103439,21,11,7,152.6567762,77.32247284
88082104238,Item 88082104238,1,23,13,92.82079009,13.64314944
88082104239,Item 88082104239,10,7,8,57.22253919,10.76158451
17243101435,Item 17243101435,16,11,16,108.9311163,11.78520386
17243101539,Item 17243101539,20,21,5,144.5858998,24.59648796
27111229741,Item 27111229741,17,11,15,21.74895,21.70951211
88082104240,Item 88082104240,18,17,5,102.3508116,72.47516158
17145260838,Item 17145260838,12,5,9,139.9155788,19.5667033
07291201436,Item 7291201436,1,20,17,100.9618613,29.43343488
27211216338,Item 27211216338,20,3,1,49.96510647,1.583257436
27111229739,Item 27111229739,18,13,18,36.58468117,23.80620978
28244926436,Item 28244926436,13,13,8,86.82537452,28.15490243
18245101838,Item 18245101838,14,21,15,17.37317002,24.99054748
28242917439,Item 28242917439,6,18,13,6.728842346,15.61913093
28244926137,Item 28244926137,15,8,2,115.2264945,16.73116906
28244926135,Item 28244926135,12,1,8,20.86982951,4.027458022
28244926136,Item 28244926136,17,13,10,87.69608516,89.28903265
28244926038,Item 28244926038,14,2,2,38.75588515,8.381970163
28244926438,Item 28244926438,5,11,10,122.471708,132.8155496
28244926439,Item 28244926439,19,2,17,94.96447303,14.82497111
28244926039,Item 28244926039,19,19,13,30.19901858,7.914481698
28244926035,Item 28244926035,7,15,17,43.9733125,75.1587527
28244926435,Item 28244926435,13,18,13,60.77809196,21.2882674
28244926437,Item 28244926437,15,13,17,29.60122048,96.05901366
06491105438,Item 6491105438,13,14,21,47.03234323,25.83126637
16292400035,Item 16292400035,22,8,13,22.44297686,2.540430571
26241807639,Item 26241807639,16,9,9,53.63925795,15.72435222
16292317935,Item 16292317935,1,20,15,94.87159277,15.32427923
17243101538,Item 17243101538,18,13,8,134.2274687,14.95145278
17243101439,Item 17243101439,15,18,12,136.084764,112.4006723
28235229937,Item 28235229937,15,1,23,72.5351749,86.57533277
18143114743,Item 18143114743,19,23,7,94.61228503,14.18677506
07291100438,Item 7291100438,17,17,11,139.9341057,17.61322313
07291100238,Item 7291100238,10,10,15,34.044195,2.976178433
28882307237,Item 28882307237,14,11,3,73.8533344,29.61413299
28882307238,Item 28882307238,7,8,6,157.2530943,28.76948955
28882307239,Item 28882307239,21,17,17,56.22176275,9.653091541
28882307235,Item 28882307235,17,7,7,112.602994,20.75032163
18293304334,Item 18293304334,20,8,17,55.64629026,11.00739653
28242919735,Item 28242919735,15,4,9,83.2574817,20.79944719
18291127339,Item 18291127339,16,8,19,39.95035987,8.835142911
18291127336,Item 18291127336,1,5,6,104.2364796,23.16683982
17293113938,Item 17293113938,19,21,14,92.32116027,14.47802317
17291105738,Item 17291105738,7,20,21,113.3441225,25.56724288
17291105736,Item 17291105736,4,8,5,22.5518196,20.58966709
18145100042,Item 18145100042,20,13,8,71.80602769,178.5160388
18145100041,Item 18145100041,5,19,17,92.93585341,15.47200033
17291217435,Item 17291217435,8,12,10,124.9325941,11.99563317
17291217437,Item 17291217437,13,7,11,62.5642203,29.56513967
17291204736,Item 17291204736,18,14,10,57.39195195,18.03038516
17293301335,Item 17293301335,19,13,14,20.84956922,25.69999423
17291204737,Item 17291204737,1,19,3,144.863584,10.33910556
17291204738,Item 17291204738,1,12,7,99.95427426,25.22234225
17293305938,Item 17293305938,10,19,19,43.992376,5.857703133
57245101435,Item 57245101435,13,19,6,19.30509999,3.922144284
40082011144,Item 40082011144,8,15,1,144.7073369,1.811590596
18143104741,Item 18143104741,7,23,19,5.090445612,6.339176991
57245101438,Item 57245101438,11,18,18,115.9216747,7.801853733
57245101437,Item 57245101437,21,21,10,86.95508781,20.47821902
28882200141,Item 28882200141,2,1,4,142.743161,19.1549726
28211213436,Item 28211213436,4,10,18,27.7308572,4.799745403
17145257741,Item 17145257741,12,19,21,114.4416447,19.33294383
40082088944,Item 40082088944,7,23,4,39.89671551,26.12234081
28211213438,Item 28211213438,7,16,6,117.4810865,8.980038149
18143104641,Item 18143104641,5,16,20,28.76662595,77.10819773
28211213437,Item 28211213437,21,21,5,148.0874804,3.178485396
18221121636,Item 18221121636,17,4,19,74.89562126,2.162673745
28882200039,Item 28882200039,4,14,10,19.43424056,22.42138315
28882200040,Item 28882200040,1,2,9,78.25485557,25.62030428
28882200143,Item 28882200143,15,13,1,106.5001858,9.299143579
40082088942,Item 40082088942,11,20,20,18.30820777,8.527866312
88183100443,Item 88183100443,1,5,13,79.27300265,2.148619051
88181101938,Item 88181101938,10,18,20,69.14868222,7.618193691
88082105139,Item 88082105139,6,16,17,9.884091735,20.13392018
88082105141,Item 88082105141,15,5,19,112.0615835,14.71230884
88082105140,Item 88082105140,14,13,22,156.4684264,59.54702039
28132204638,Item 28132204638,19,1,15,78.73361706,25.77416227
88082105143,Item 88082105143,2,22,17,84.14498441,28.18110049
88082105241,Item 88082105241,19,18,3,135.79287,7.720984905
88082106339,Item 88082106339,13,16,20,0.802824314,8.985139928
28242301137,Item 28242301137,14,8,21,10.19035094,17.37095236
28242301136,Item 28242301136,23,18,13,45.26448349,11.04948187
28242301138,Item 28242301138,6,16,4,116.0545504,156.2381353
18245101835,Item 18245101835,17,10,21,57.03732723,10.5592891
18245101839,Item 18245101839,13,7,2,112.4109406,28.06701368
16292320038,Item 16292320038,1,22,14,24.97935213,27.68908665
16291110339,Item 16291110339,4,20,11,87.85948929,8.806037801
26241802638,Item 26241802638,10,12,10,59.84464527,42.50835276
06491105435,Item 6491105435,18,5,21,35.89450694,18.52744692
06491105436,Item 6491105436,15,8,3,8.730776011,3.451452078
06491105439,Item 6491105439,6,19,18,72.53510077,7.564842994
06491105437,Item 6491105437,23,7,16,33.66107899,90.95790762
16291115235,Item 16291115235,5,20,1,0.687492757,3.886448745
26241804339,Item 26241804339,11,23,3,55.89288505,15.37919428
26241804336,Item 26241804336,12,20,8,5.896635776,8.933124135
16291109137,Item 16291109137,8,13,22,62.56193931,28.79245244
16291108736,Item 16291108736,1,20,16,90.90936121,14.711468
56292802635,Item 56292802635,18,10,23,7.045483339,19.70218851
56292802636,Item 56292802636,6,16,8,4.121851551,124.2103109
16292317937,Item 16292317937,15,17,9,23.67599862,7.437667092
28242917535,Item 28242917535,16,7,4,37.01683511,10.34916174
28242917536,Item 28242917536,23,16,23,2.662676217,73.87843737
28242917537,Item 28242917537,8,6,12,29.50432361,19.11782844
28242917538,Item 28242917538,19,4,3,41.68122815,16.50639713
28242917539,Item 28242917539,15,15,15,56.91412571,119.9752954
28232210336,Item 28232210336,12,20,23,69.14551521,13.57115577
28232210338,Item 28232210338,2,23,1,133.8165278,11.03183569
28131206341,Item 28131206341,16,3,3,100.6313655,29.0887305
18143114742,Item 18143114742,10,15,17,53.87050508,5.612733254
18145216943,Item 18145216943,15,13,14,154.4053272,25.02269616
28131206342,Item 28131206342,5,4,16,145.2067159,5.630823562
28232210339,Item 28232210339,9,21,14,4.856945207,26.89871693
88181100439,Item 88181100439,10,21,9,157.0843942,19.25435907
18143114740,Item 18143114740,16,3,14,67.08702979,20.51014729
18245101636,Item 18245101636,19,7,23,78.66711612,6.660693667
18143114738,Item 18143114738,20,15,7,67.77654885,5.845762914
88161301739,Item 88161301739,18,14,2,21.13866848,15.96782014
88161301741,Item 88161301741,12,14,20,80.87596059,8.577297912
88161300242,Item 88161300242,21,7,14,101.5486351,23.05787565
88161300239,Item 88161300239,13,13,18,114.8488115,16.60338382
18293104638,Item 18293104638,21,6,14,129.9269829,16.74576025
18291150137,Item 18291150137,8,19,21,102.1017376,88.70532667
28242919235,Item 28242919235,17,22,14,91.7097501,12.27211458
28242919239,Item 28242919239,8,22,12,126.0606711,22.23881441
17291204735,Item 17291204735,8,1,8,152.0237872,33.38400436
17293117636,Item 17293117636,17,5,19,29.51613655,1.055472792
18245101538,Item 18245101538,14,9,22,127.8721978,74.22307078
18291127334,Item 18291127334,3,6,8,7.668288353,6.537774204
28871300841,Item 28871300841,2,22,19,106.085231,12.09822235
28132204840,Item 28132204840,1,16,16,109.1326557,11.63273953
28871300842,Item 28871300842,20,14,5,154.9053551,25.99979255
27241813836,Item 27241813836,5,13,2,149.5812723,159.4521312
07293300639,Item 7293300639,5,12,12,131.8983109,26.3357119
28132204843,Item 28132204843,20,4,8,62.11827918,24.09229329
28132204841,Item 28132204841,23,13,19,79.3726457,26.31090121
17293105937,Item 17293105937,3,2,21,127.3844226,17.46020593
27241813838,Item 27241813838,16,23,8,62.25932999,65.76069252
16291113536,Item 16291113536,4,16,22,74.38988269,2.521469387
07293101838,Item 7293101838,13,21,22,110.1120493,19.78681906
07293101839,Item 7293101839,15,12,19,126.712127,23.99594937
17291101738,Item 17291101738,9,1,19,61.96398808,9.081145737
17291101739,Item 17291101739,9,16,7,35.31027313,26.41186296
17291101737,Item 17291101737,18,22,8,133.035177,29.79983898
18291147137,Item 18291147137,16,3,21,128.9544872,27.23763809
18291147135,Item 18291147135,4,6,18,9.064796175,16.46578036
18293111039,Item 18293111039,10,11,4,14.27469041,7.401918965
18293312437,Item 18293312437,2,3,2,159.3754383,9.782525426
18203109339,Item 18203109339,20,11,11,94.28593233,5.725097472
18291147138,Item 18291147138,6,22,4,83.51150085,34.13468389
18291147136,Item 18291147136,2,4,18,114.1454483,29.15736141
18291105339,Item 18291105339,1,22,19,72.25463774,11.61287981
07293300335,Item 7293300335,22,18,19,52.28952415,20.15001203
07293300337,Item 7293300337,10,11,14,98.79497326,127.8582824
07293300336,Item 7293300336,18,8,20,4.493226438,156.8712304
27241813536,Item 27241813536,18,14,18,77.61371371,1.914880954
27241813537,Item 27241813537,18,9,20,120.1072561,23.43449745
17293111736,Item 17293111736,21,7,16,159.3000435,12.99480379
17291116435,Item 17291116435,10,21,7,122.2205495,115.7738836
17291116434,Item 17291116434,18,14,5,135.2145809,57.74856553
17291116436,Item 17291116436,17,17,20,121.4666278,23.56820867
17293114437,Item 17293114437,20,18,17,49.77392374,20.14209943
28871300843,Item 28871300843,13,19,20,127.3472735,13.22074467
27241811036,Item 27241811036,12,10,12,90.56973116,95.13750076
27241810137,Item 27241810137,11,16,19,123.8372413,12.05424104
07293300636,Item 7293300636,1,8,10,159.7506092,3.276201868
18293312338,Item 18293312338,14,13,13,45.34538979,29.44455907
18293312337,Item 18293312337,8,6,16,91.60777588,105.2342803
28242919338,Item 28242919338,8,4,17,109.1104897,133.6086532
28242919337,Item 28242919337,21,8,20,131.9659722,47.09396058
18291132837,Item 18291132837,18,21,12,3.741544691,20.28183641
18291122639,Item 18291122639,1,21,13,129.6373497,1.252360083
18203101536,Item 18203101536,1,15,6,56.46302854,1.446397478
18203101537,Item 18203101537,1,22,23,158.1080156,116.6415691
18291147035,Item 18291147035,16,3,6,91.60903623,6.074379294
28244926140,Item 28244926140,18,22,19,105.4291996,26.02237525
18143114840,Item 18143114840,21,20,19,39.27301357,58.69332042
28244926337,Item 28244926337,17,1,22,18.74441597,27.51693171
28242917435,Item 28242917435,10,19,19,46.60407885,20.61453958
28242917438,Item 28242917438,19,7,10,17.60837692,10.0713532
28242917437,Item 28242917437,4,16,2,77.08341794,16.95081051
28247907235,Item 28247907235,6,9,3,2.697385867,29.29860645
26241805336,Item 26241805336,7,3,17,42.09976293,16.73839685
16292317838,Item 16292317838,5,9,9,25.42154659,141.9545161
16291101238,Item 16291101238,15,15,8,71.12156502,12.84497501
16292317939,Item 16292317939,13,23,10,25.18390157,28.9254899
26241804338,Item 26241804338,1,19,19,88.98787593,10.9666192
18121115342,Item 18121115342,1,15,4,18.11641266,5.997032743
18143119041,Item 18143119041,13,17,9,115.0586702,2.147805291
18143119043,Item 18143119043,1,11,9,23.30010709,124.5021778
18121115340,Item 18121115340,5,9,18,23.39815554,7.754132278
18143119040,Item 18143119040,22,10,7,33.31187562,21.85253075
